¿Usted pone interés en su funcion como estudiante?    ;¿Usted cumple con el trabajo asignado como estudiante?  ;¿Usted se siente comprometido con la Institucion?   ;¿Usted es persistente en el cumplimiento de su función Estudiantil?  ;¿Usted considera que aplica el Meta_aprendizaje?  ;¿Usted planifica su tiempo para cumplir con los trabajos autonomos?  ;¿Usted pone en practica tecnicas de lectura?  ;¿Usted se interesa por las dificultades que presentan sus companeros? ;¿Usted posee una comunicación asertiva con los Docentes y companeros?  ;¿Usted considera tener un pensamiento critico?   ;¿Usted considera ser mediador de problemas y conflictos?   ;¿Usted cuenta con servicio de internet?  ;¿Usted considera tener dominio de las aulas virtuales?  ;¿Usted considera que los foros aportan en el proceso de aprendizaje autonomo?  ;¿Usted considera que las tareas individuales fortalecen los trabajos autonomos?  
5;5;5;5;4;4;4;4;4;4;4;4;4;4;4
4;4;3;3;3;3;3;3;3;3;3;3;3;3;3
3;3;3;3;3;2;2;2;2;2;2;2;2;2;2
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
1;2;4;1;5;5;2;3;5;1;2;5;1;1;1
2;1;3;3;2;1;2;4;4;3;1;4;1;4;5
1;2;1;3;1;3;2;1;3;1;1;3;4;5;5
1;3;2;4;5;5;4;2;3;2;2;1;4;1;1
3;3;5;3;3;3;3;4;3;3;3;5;3;3;3
4;4;3;4;3;3;2;2;2;3;2;5;4;1;2
4;4;1;3;3;2;2;2;2;2;2;4;2;3;2
3;2;2;2;2;1;1;2;2;2;2;5;4;1;3
1;2;2;2;1;3;3;3;4;5;5;5;4;5;5
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
5;5;4;4;4;5;3;4;3;4;5;1;5;5;5
2;4;5;4;1;2;1;2;1;1;1;2;1;4;5
5;5;5;5;5;5;3;3;4;4;5;5;5;5;5
5;5;3;5;5;5;5;3;5;5;4;4;5;3;3
4;5;4;5;4;5;5;5;2;5;3;5;3;3;4
2;2;2;3;4;3;4;3;3;2;2;3;3;3;3
5;5;5;5;4;4;5;4;4;4;3;5;4;5;5
4;5;5;5;4;5;4;2;2;3;3;5;5;5;5
4;5;4;4;4;3;5;3;4;5;4;5;4;5;5
5;5;5;5;5;5;4;4;4;4;4;5;5;5;5
5;5;5;5;4;5;4;5;5;3;4;4;4;4;5
4;5;4;4;4;3;4;3;3;4;4;5;4;3;3
5;5;5;5;5;5;4;2;4;5;3;4;4;5;5
5;2;4;3;4;3;4;4;4;3;1;2;2;4;5
4;4;3;4;3;3;2;3;3;3;3;4;4;3;4
4;5;5;5;5;5;5;5;4;4;4;3;4;4;5
3;3;3;3;3;3;3;2;1;3;3;1;2;4;3
5;5;5;5;4;5;3;4;4;4;4;4;4;4;4
5;5;5;5;3;5;3;5;5;4;4;5;5;4;4
5;4;5;5;3;4;3;5;3;4;2;2;4;4;3
3;3;3;3;3;3;3;2;2;3;2;2;3;2;3
5;5;5;5;5;5;4;2;3;5;1;4;5;5;5
4;4;4;4;3;2;2;2;2;3;2;5;5;1;3
5;5;5;5;4;5;4;4;3;4;1;5;5;4;4
4;4;4;4;4;4;4;4;5;5;4;4;4;4;4
3;5;3;4;2;4;3;3;3;2;3;4;4;5;5
5;5;3;5;3;5;4;3;4;5;2;5;4;2;3
4;5;3;4;3;3;3;4;4;4;4;4;4;4;4
4;4;4;4;4;4;4;4;4;4;4;2;2;4;4
4;5;4;5;4;4;4;3;3;5;3;4;4;5;5
5;5;5;5;5;5;5;4;5;4;5;5;5;5;5
3;5;5;5;5;5;4;5;4;4;4;4;4;4;4
5;5;5;5;5;5;4;4;4;4;4;5;4;4;5
4;4;5;5;5;4;4;5;4;4;4;4;3;5;5
5;5;4;5;4;5;2;3;4;5;3;5;4;5;4
5;5;5;5;4;3;2;3;3;4;5;5;5;4;3
4;5;5;4;5;4;4;5;5;4;4;4;3;5;5
5;5;5;5;4;3;5;5;3;4;4;5;3;5;4
5;5;5;5;4;5;4;4;4;4;4;2;3;4;4
5;5;5;4;5;4;4;3;3;4;3;2;2;2;3
5;5;4;4;4;5;3;4;4;3;3;4;5;5;5
5;5;5;4;4;3;5;5;4;4;1;3;2;2;4
5;5;5;5;4;5;4;4;4;5;4;4;4;3;4
5;4;5;4;4;5;5;4;3;4;4;3;4;5;5
5;5;4;5;5;5;5;5;4;3;4;5;5;5;5
4;5;5;5;4;4;4;3;3;4;4;4;4;4;3
4;5;5;5;4;4;4;2;3;5;3;3;4;3;4
5;5;5;5;4;4;3;5;5;4;3;5;5;4;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
4;4;4;4;4;4;4;4;4;4;4;5;4;4;4
5;5;5;5;5;5;5;4;5;5;5;4;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;4;5;5
4;5;4;5;5;5;5;4;4;4;4;3;3;5;4
4;4;5;5;4;5;5;5;4;4;3;3;3;4;4
5;5;5;5;5;5;4;4;4;4;4;4;4;5;5
5;5;5;5;4;5;3;3;5;4;3;3;4;3;3
5;5;4;5;5;5;4;4;4;5;5;5;4;5;4
3;5;5;5;4;5;1;5;5;3;3;5;4;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;4;4;5;4;4;5;4;5;5;5;5
5;5;5;5;4;5;5;4;4;4;1;5;4;4;4
5;5;4;5;2;5;4;3;3;4;3;5;5;4;5
5;5;5;5;3;3;3;3;4;3;4;4;3;4;5
4;5;5;5;4;4;4;4;3;4;4;5;4;4;5
5;4;5;4;5;4;5;4;4;5;2;3;3;2;4
5;5;5;5;4;5;4;5;5;5;5;5;5;5;5
5;4;5;4;4;5;5;5;5;3;5;4;4;5;5
5;5;5;5;5;5;5;5;5;5;5;4;5;5;5
5;5;5;5;5;5;5;5;4;5;1;3;4;4;4
5;5;4;5;5;5;5;5;4;4;4;4;1;4;4
4;5;4;5;5;5;5;5;4;4;3;1;1;4;4
5;5;5;5;4;5;5;5;4;4;4;5;4;5;5
5;5;5;5;5;4;4;4;4;5;3;5;4;4;4
5;4;5;1;5;5;5;4;5;5;4;4;5;5;5
5;5;5;5;4;4;5;3;4;4;3;5;4;5;5
5;5;5;5;4;5;4;5;4;4;4;5;4;4;5
5;5;5;5;4;5;5;4;5;4;3;5;5;4;4
5;5;5;5;4;4;4;4;4;4;3;2;3;3;4
5;5;4;5;4;4;4;4;4;4;4;5;4;4;4
4;5;5;5;5;4;4;4;4;5;2;5;4;5;5
5;5;5;5;5;5;5;5;5;5;5;5;4;4;5
4;5;5;5;4;5;5;4;4;4;1;4;5;4;4
5;5;5;5;4;4;4;4;3;4;3;3;3;4;4
5;5;5;5;4;4;4;4;4;3;3;5;4;4;4
4;5;5;4;4;3;4;5;4;5;1;4;4;5;5
3;4;4;4;3;4;4;4;3;3;3;5;2;3;3
4;5;5;5;4;5;4;3;3;4;3;5;4;4;4
5;5;4;5;4;5;5;4;4;3;3;3;4;4;5
4;5;5;5;4;4;4;4;4;4;4;5;4;5;3
5;5;5;4;4;4;5;5;3;5;5;4;4;4;5
5;5;5;5;5;5;4;4;4;4;4;4;4;5;5
5;5;5;5;5;5;5;4;5;5;5;4;5;5;5
5;5;5;5;4;5;4;5;4;4;3;4;3;3;4
5;5;5;5;5;5;4;3;4;4;4;5;4;4;4
5;5;5;5;4;4;5;5;4;4;5;5;3;4;4
4;5;4;4;4;4;4;3;3;4;2;4;3;3;4
4;4;5;4;4;4;4;4;5;5;5;3;3;5;5
5;5;5;5;5;5;5;5;5;5;5;5;4;4;5
5;5;5;4;4;5;4;3;3;3;3;4;3;4;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;4;4;4;4;4;4;2;3;4;1;4;4;3;4
5;4;4;4;4;4;4;2;3;4;1;4;4;3;4
3;4;4;5;4;3;2;4;2;4;5;5;3;4;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
4;5;5;5;4;5;4;4;3;4;4;4;4;4;4
5;5;4;4;4;5;5;4;3;5;5;2;4;4;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;4;4;5;5;4;4;4;2;2;4;4;4
5;5;5;5;5;5;5;4;3;3;2;2;4;4;4
4;4;5;4;3;4;5;4;4;5;4;3;2;4;4
5;3;3;4;2;2;4;4;3;4;4;4;5;4;1
5;5;5;5;4;5;5;5;3;4;5;4;4;5;4
5;5;3;5;4;5;5;4;4;4;3;4;4;4;4
5;5;5;5;5;5;5;5;3;5;3;5;4;4;4
3;3;5;5;3;3;2;2;2;5;2;3;2;3;5
5;5;5;5;3;5;4;1;1;2;4;5;3;3;1
5;5;5;5;5;4;5;5;5;5;1;2;4;5;5
4;3;3;3;3;3;3;5;3;4;3;1;1;2;2
5;5;4;5;5;5;4;3;4;5;3;5;4;4;4
5;5;5;5;5;5;5;5;5;5;5;1;4;5;5
5;5;5;5;4;5;5;4;4;4;4;5;4;5;5
5;5;2;5;4;5;5;2;5;2;3;2;3;4;4
5;4;5;4;4;3;3;3;2;3;3;5;5;4;4
4;5;5;5;4;3;3;3;2;3;2;5;3;4;4
5;5;5;5;4;5;4;4;5;4;4;5;3;3;5
5;5;5;5;5;5;5;5;4;5;3;1;3;4;5
5;5;3;5;5;5;5;4;4;4;2;5;4;4;5
5;5;5;5;5;5;5;4;4;5;2;2;3;5;5
5;5;5;5;4;4;5;3;3;5;3;3;3;5;5
5;5;5;4;5;5;5;3;5;5;3;4;4;3;5
4;5;5;4;4;5;4;3;2;4;4;5;3;4;4
5;5;5;5;4;4;4;4;4;4;4;3;3;3;3
5;5;5;5;4;3;3;2;2;3;3;4;3;3;5
5;5;5;5;5;5;5;4;4;4;4;4;3;4;5
5;5;5;5;4;4;5;5;4;4;5;5;4;5;5
5;5;5;5;4;4;4;5;2;4;4;3;2;4;4
5;5;5;5;5;5;4;3;3;2;2;4;4;4;4
5;5;3;5;3;5;4;5;3;5;1;5;4;5;5
4;4;5;4;4;3;4;5;5;5;5;1;2;4;5
5;5;3;5;4;5;5;4;3;4;3;5;4;4;4
5;5;4;4;5;4;4;4;4;4;4;4;5;4;5
4;5;5;5;5;5;5;4;4;4;5;5;4;5;5
5;4;5;5;4;4;4;4;3;3;4;4;3;3;4
5;5;5;5;4;5;3;3;5;4;3;3;4;3;3
5;5;4;5;3;5;5;5;2;5;5;4;3;2;1
5;5;5;5;3;4;4;3;4;5;3;5;5;4;5
5;5;5;5;5;5;5;5;4;2;1;1;3;3;5
4;5;5;4;4;5;4;4;3;4;2;5;4;5;5
5;5;5;5;5;5;3;5;5;4;3;2;3;5;5
5;4;5;5;3;4;4;4;3;3;3;5;5;4;4
4;5;5;4;4;5;5;5;4;5;4;5;4;4;4
5;5;5;5;4;4;3;3;4;4;3;5;4;3;4
4;4;5;5;3;5;4;5;5;4;4;3;3;3;4
1;1;1;1;1;1;1;1;1;1;1;2;1;1;1
5;5;5;5;4;5;5;5;5;4;5;4;4;5;5
5;5;5;5;5;5;2;3;4;3;4;5;4;5;5
5;5;2;5;1;2;4;1;1;5;5;5;1;5;3
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;4;5;3;5;4;4;4;5;3;4;4;3;3
5;5;5;4;5;5;5;5;5;4;2;4;4;4;4
3;4;4;4;4;4;4;3;4;4;3;4;3;4;3
5;5;4;5;4;4;4;2;4;4;2;2;2;2;4
5;5;5;5;5;5;4;5;4;4;4;5;5;4;5
5;5;5;5;4;5;4;4;4;3;1;5;4;4;5
5;5;4;5;4;5;5;4;5;4;1;5;3;4;5
5;5;5;5;5;5;4;4;4;5;1;5;5;5;5
5;5;5;5;4;5;5;5;4;4;1;5;4;5;4
4;5;4;4;3;4;4;4;4;4;4;3;2;3;3
5;4;4;4;4;4;4;4;3;4;4;5;4;1;4
5;5;4;4;4;4;3;3;3;3;3;3;3;5;4
5;5;4;4;4;5;5;4;4;4;3;3;3;4;3
5;5;5;5;4;5;5;5;4;5;5;4;4;3;4
5;5;5;5;4;5;3;4;4;4;4;4;4;4;4
5;4;5;5;5;4;4;4;4;4;4;4;3;4;4
4;5;4;5;4;5;3;3;3;3;1;4;3;5;5
5;5;5;5;4;4;4;5;4;4;4;2;1;4;4
5;5;4;5;5;4;4;5;4;4;3;3;3;3;4
5;5;5;5;4;4;3;5;3;3;3;3;3;4;2
